,Hotel_Name,Review,Total_Review,Rating,Location
61,U Hotel Fifth Avenue I Empire State Building,Very good ,130 reviews,8.4,"Manhattan, New York"
62,Courtyard New York Manhattan/Midtown East,Good ,920 reviews,7.5,"Midtown East, New York"
63,Grayson Hotel,Good ,"2,560 reviews",7.6,"Manhattan, New York"
64,New York Hilton Midtown,Very good ,"3,878 reviews",8.1,"Manhattan, New York"
65,Sheraton Tribeca New York Hotel,Good ,"1,698 reviews",7.6,"Tribeca, New York"
66,The Belvedere Hotel,Good ,719 reviews,7.6,"Hell's Kitchen, New York"
67,Hilton Garden Inn New York - Times Square Central,Good ,"7,585 reviews",7.8,"Manhattan, New York"
68,Dream Midtown,Good ,"1,180 reviews",7.6,"Manhattan, New York"
69,Pod 51,Good ,"2,035 reviews",7.5,"Midtown East, New York"
70,"Hotel Shocard Broadway, Times Square",Very good ,"6,144 reviews",8.4,"Manhattan, New York"
71,Long Term Stays Manhattan,Fabulous ,638 reviews,8.7,"Washington Heights, New York"
72,"Holiday Inn New York City - Times Square, an IHG Hotel",Very good ,"9,240 reviews",8.2,"Hell's Kitchen, New York"
73,M Social Hotel Times Square New York,Good ,"3,907 reviews",7.3,"Manhattan, New York"
74,Omni Berkshire Place,Good ,"3,128 reviews",7.9,"Midtown East, New York"
75,HI New York City Hostel,Fabulous ,"2,383 reviews",8.6,"Upper West Side, New York"
76,Millennium Downtown New York,Review score ,833 reviews,6.6,"Wall Street - Financial District, New York"
77,"Holiday Inn Express New York City Chelsea, an IHG Hotel",Good ,558 reviews,7.8,"Chelsea, New York"
78,Courtyard New York Manhattan/Midtown West,Very good ,"3,170 reviews",8.3,"Hudson Yards, New York"
79,"Holiday Inn Express Manhattan Midtown West, an IHG Hotel",Fabulous ,"2,857 reviews",8.7,"Hell's Kitchen, New York"
80,Renaissance New York Chelsea Hotel,Very good ,981 reviews,8.0,"Chelsea, New York"
81,World Center Hotel,Very good ,192 reviews,8.5,"Wall Street - Financial District, New York"
82,citizenM New York Times Square,Good ,"1,449 reviews",7.9,"Manhattan, New York"
83,"InterContinental New York Barclay Hotel, an IHG Hotel",Good ,"1,373 reviews",7.2,"Midtown East, New York"
84,"Park South Hotel, part of JdV by Hyatt",Good ,598 reviews,7.7,"NoMad, New York"
85,The Allen Hotel,Good ,"3,859 reviews",7.7,"Lower East Side, New York"
86,City Club Hotel,Very good ,"3,639 reviews",8.3,"Manhattan, New York"
87,Eurostars Wall Street,Good ,"1,048 reviews",7.0,"Wall Street - Financial District, New York"
88,Ameritania at Times Square,Very good ,"2,859 reviews",8.1,"Manhattan, New York"
89,Hampton Inn Manhattan-35th St Empire State Bldg,Good ,"2,412 reviews",7.7,"Manhattan, New York"
90,Four Points by Sheraton Manhattan Chelsea,Superb ,749 reviews,9.0,"Chelsea, New York"
91,TownePlace Suites by Marriott New York Manhattan/Chelsea,Very good ,"6,639 reviews",8.4,"Chelsea, New York"
92,Hilton Garden Inn New York Times Square North,Good ,"1,143 reviews",7.4,"Manhattan, New York"
93,Sanctuary NYC Retreats,Very good ,"2,353 reviews",8.2,"Lower East Side, New York"
94,Riu Plaza New York Times Square,Review score ,"3,002 reviews",6.6,"Hell's Kitchen, New York"
95,Aloft Manhattan Downtown - Financial District,Very good ,"8,844 reviews",8.0,"Wall Street - Financial District, New York"
96,La Quinta by Wyndham Time Square South,Good ,"9,240 reviews",7.6,"Hell's Kitchen, New York"
97,La Quinta by Wyndham New York City Central Park,Very good ,"3,907 reviews",8.0,"Upper West Side, New York"
98,MOXY NYC Times Square,Good ,"3,128 reviews",7.9,"Manhattan, New York"
99,Murray Hill 1BR w Gym Doorman Pool Rooftop NYC-585,Good ,"2,383 reviews",7.9,"Kips Bay, New York"
100,Hampton Inn Manhattan Grand Central,Very good ,833 reviews,8.5,"Midtown East, New York"
101,The Westin New York Grand Central,Good ,558 reviews,7.9,"Murray Hill, New York"
102,Tribeca Studio w Great views Indoor pool NYC-109,Good ,"3,170 reviews",7.7,"Tribeca, New York"
103,Freehand New York,Very good ,"2,857 reviews",8.2,"Gramercy, New York"
104,Arthouse Hotel,Good ,981 reviews,7.5,"Upper West Side, New York"
105,Hilton Garden Inn NYC Financial Center/Manhattan Downtown,Review score ,192 reviews,6.5,"Wall Street - Financial District, New York"
106,Hotel St. James,Fabulous ,"1,449 reviews",8.6,"Manhattan, New York"
107,The Evelyn NoMad,Very good ,"1,373 reviews",8.2,"NoMad, New York"
108,Courtyard by Marriott New York Manhattan/Central Park,Good ,598 reviews,7.9,"Manhattan, New York"
109,TBA Times Square,Good ,"3,859 reviews",7.5,"Hell's Kitchen, New York"
110,"Holiday Inn Express - Wall Street, an IHG Hotel",Good ,"3,639 reviews",7.0,"Wall Street - Financial District, New York"
111,"Hotel 50 Bowery, part of JdV by Hyatt",Very good ,"1,048 reviews",8.2,"Chinatown, New York"
112,New York Marriott Marquis,Very good ,"2,859 reviews",8.1,"Manhattan, New York"
113,Fairfield Inn & Suites by Marriott New York Manhattan/Central Park,Good ,"2,412 reviews",7.6,"Hell's Kitchen, New York"
114,Fairfield Inn & Suites by Marriott New York Manhattan/Chelsea,Very good ,749 reviews,8.0,"Chelsea, New York"
115,Ramada by Wyndham New York Times Square West,Good ,"6,639 reviews",7.8,"Hell's Kitchen, New York"
116,"Hotel Indigo NYC Downtown - Wall Street, an IHG Hotel",Very good ,"1,143 reviews",8.1,"Wall Street - Financial District, New York"
117,Leon Hotel LES,Very good ,"2,353 reviews",8.0,"Lower East Side, New York"
118,Citadines Connect Fifth Avenue New York,Very good ,"3,002 reviews",8.0,"Manhattan, New York"
119,"Club Quarters Hotel Grand Central, New York",Very good ,"8,844 reviews",8.2,"Midtown East, New York"
120,The Blakely by LuxUrban,Very good ,57 reviews,8.0,"Manhattan, New York"
121,"The Bernic Hotel New York City,Tapestry Collection by Hilton",Good ,657 reviews,7.6,"Midtown East, New York"
122,Virgin Hotels New York City,Very good ,"2,535 reviews",8.3,"NoMad, New York"
123,Courtyard by Marriott New York Manhattan / Soho,Very good ,946 reviews,8.3,"SoHo, New York"
124,Hyatt House New York/Chelsea,Good ,"1,087 reviews",7.9,"Chelsea, New York"
125,SpringHill Suites by Marriott New York Midtown Manhattan/Park Ave,Good ,"3,627 reviews",7.3,"Flatiron District, New York"
126,Wyndham Garden Chinatown,Very good ,844 reviews,8.0,"Lower East Side, New York"
127,Hilton Garden Inn West 35th Street,Good ,483 reviews,7.4,"Manhattan, New York"
128,"EVEN Midtown East - Grand Central, an IHG Hotel",Good ,"1,078 reviews",7.2,"Midtown East, New York"
129,Ace Hotel New York,Very good ,"1,074 reviews",8.3,"NoMad, New York"
130,DoubleTree by Hilton New York Downtown,Fabulous ,"1,797 reviews",8.6,"Wall Street - Financial District, New York"
131,Hyatt Herald Square New York,Good ,844 reviews,7.6,"NoMad, New York"
132,Fairfield Inn & Suites by Marriott New York Manhattan/Fifth Avenue,Very good ,728 reviews,8.0,"Manhattan, New York"
133,Sixty LES,Very good ,415 reviews,8.2,"Lower East Side, New York"
134,Royalton Park Avenue,Fabulous ,766 reviews,8.7,"NoMad, New York"
135,"The Jewel Hotel, New York",Good ,523 reviews,7.6,"Manhattan, New York"
136,Four Points by Sheraton Manhattan SoHo Village,Good ,770 reviews,7.9,"SoHo, New York"
137,Aloft Harlem,Very good ,178 reviews,8.3,"Harlem, New York"
138,SpringHill Suites by Marriott New York Midtown Manhattan/Fifth Avenue,Very good ,464 reviews,8.1,"Manhattan, New York"
139,Midtown E Studio w Great light Gym NYC-139,Very good ,647 reviews,8.5,"Kips Bay, New York"
140,Archer Hotel New York,Review score ,"1,225 reviews",6.9,"Manhattan, New York"
141,Hilton Garden Inn New York/Tribeca,Good ,562 reviews,7.5,"Tribeca, New York"
142,The Westin New York at Times Square,Good ,770 reviews,7.3,"Manhattan, New York"
143,Thompson Central Park - New York,Exceptional ,1 review,10,"Manhattan, New York"
144,Moxy NYC Downtown,Good ,"1,188 reviews",7.5,"Wall Street - Financial District, New York"
145,"Crowne Plaza HY36 Midtown Manhattan, an IHG Hotel",Very good ,"1,260 reviews",8.2,"Hell's Kitchen, New York"
146,OYO Times Square,Review score ,"4,246 reviews",6.5,"Manhattan, New York"
147,Hotel Hugo,Very good ,"2,521 reviews",8.1,"SoHo, New York"
148,Dream Downtown,Very good ,586 reviews,8.1,"Chelsea, New York"
149,Heart of Chelsea!,Fabulous ,"1,643 reviews",8.8,"Chelsea, New York"
150,Hilton Garden Inn New York Manhattan Midtown East,Review score ,"1,243 reviews",5.6,"Midtown East, New York"
151,NH Collection New York Madison Avenue,Very good ,"2,623 reviews",8.2,"Murray Hill, New York"
152,The Gallivant Times Square,Good ,621 reviews,7.3,"Manhattan, New York"
153,Arlo NoMad,Very good ,488 reviews,8.3,"NoMad, New York"
154,The James New York - NoMad,Very good ,607 reviews,8.1,"NoMad, New York"
155,San Carlos Hotel New York,Fabulous ,"1,425 reviews",8.8,"Midtown East, New York"
156,U.S. Pacific Hotel,Very good ,"1,389 reviews",8.4,"Chinatown, New York"
157,Executive Hotel Le Soleil New York,Good ,"2,014 reviews",7.2,"Manhattan, New York"
158,Hilton New York Fashion District,Review score ,"1,000 reviews",6.8,"Chelsea, New York"
159,Radio Hotel,Good ,"2,299 reviews",7.7,"Washington Heights, New York"
160,"Martinique New York on Broadway, Curio Collection by Hilton",Good ,595 reviews,7.3,"Manhattan, New York"
161,Hard Rock Hotel New York,Good ,751 reviews,7.6,"Manhattan, New York"
162,Residence Inn by Marriott New York Manhattan/Central Park,Very good ,159 reviews,8.2,"Manhattan, New York"
163,The Hotel at Fifth Avenue,Good ,"1,550 reviews",7.8,"Manhattan, New York"
164,Hotel Hayden New York,Good ,"1,030 reviews",7.4,"Chelsea, New York"
165,Millennium Hilton New York One UN Plaza,Very good ,"4,166 reviews",8.2,"Midtown East, New York"
166,NoMo SoHo,Very good ,"1,089 reviews",8.5,"SoHo, New York"
167,Midtown E 2BR w WD nr Central Park NYC-531,Very good ,,,"Midtown East, New York"
168,Hotel Indigo Lower East Side New York,Fabulous ,,,"Lower East Side, New York"
169,UWS 1BR w Gym Walk to Central Park NYC-165,Very good ,,,New York
170,The FIDI Hotel,Good ,,,"Wall Street - Financial District, New York"
171,The Frederick Hotel Tribeca,Fabulous ,,,"Tribeca, New York"
172,Sheraton New York Times Square Hotel,Good ,,,"Manhattan, New York"
173,Fairfield Inn & Suites by Marriott New York Midtown Manhattan/Penn Station,Very good ,,,"Hell's Kitchen, New York"
174,The Pearl Hotel,Good ,,,"Manhattan, New York"
175,Gansevoort Meatpacking,Fabulous ,663 reviews,8.3,"Greenwich Village, New York"
176,The Peninsula New York,Very good ,579 reviews,8.8,"Manhattan, New York"
177,Iroquois New York Times Square,Good ,"1,864 reviews",8.1,"Manhattan, New York"
178,WJK,Review score ,377 reviews,7.6,New York
179,Residence Inn New York Downtown Manhattan/Financial District,Very good ,832 reviews,8.7,"Wall Street - Financial District, New York"
180,"Staypineapple, An Artful Hotel, Midtown New York",Good ,718 reviews,7.6,"Hell's Kitchen, New York"
181,Hampton Inn Manhattan/Downtown- Financial District,Very good ,"1,294 reviews",8.3,"Wall Street - Financial District, New York"
182,Soho Grand Hotel,Review score ,"1,294 reviews",7.5,"SoHo, New York"
183,"The Time New York, part of JdV by Hyatt",Superb ,"3,255 reviews",8.7,"Manhattan, New York"
184,Arlo Midtown,Good ,495 reviews,8.5,"Hell's Kitchen, New York"
185,The Kitano Hotel New York,Very good ,"1,736 reviews",7.2,"Murray Hill, New York"
186,Heritage Hotel New York City,Fabulous ,"1,918 reviews",6.5,"Flatiron District, New York"
187,Hampton Inn Manhattan - Times Square South,Very good ,333 reviews,8.1,"Hell's Kitchen, New York"
188,UES 1BR w Gym Doorman nr Carl Schurz Park NYC-653,Good ,234 reviews,7.0,New York
189,Hotel Richland LES,,114 reviews,8.4,"Chinatown, New York"
190,Selina Chelsea,,"2,620 reviews",6.4,"Chelsea, New York"
191,Moxy NYC Lower East Side,,"2,412 reviews",9.0,"Lower East Side, New York"
192,"Holiday Inn Express - Times Square, an IHG Hotel",,754 reviews,7.8,"Hell's Kitchen, New York"
193,LUMA Hotel - Times Square,,"1,105 reviews",8.5,"Manhattan, New York"
194,Courtyard New York Manhattan/Upper East Side,,94 reviews,8.9,"Upper East Side, New York"
195,Renaissance New York Midtown Hotel,,"1,097 reviews",8.4,"Manhattan, New York"
196,Kips Bay 1BR wElevator WD nr 6 train NYC-903,,"2,446 reviews",7.9,"Kips Bay, New York"
197,Four Seasons Hotel New York Downtown,,,,"Tribeca, New York"
198,Hilton Club The Quin New York,,,,"Manhattan, New York"
199,Arlo SoHo,,,,"SoHo, New York"
200,Lex Hotel NYC,Very good ,665 reviews,8.1,"Kips Bay, New York"
201,Carlton Arms Hotel,Good ,"1,169 reviews",7.5,"Gramercy, New York"
202,Cambria Hotel New York - Chelsea,Very good ,"2,717 reviews",8.0,"Chelsea, New York"
203,Canal Loft Hotel,Good ,988 reviews,7.0,"Chinatown, New York"
204,MADE Hotel,Fabulous ,"1,046 reviews",8.6,"NoMad, New York"
205,Hotel 48LEX New York,Good ,321 reviews,7.2,"Midtown East, New York"
206,Hotel 31 Extended Stay,Very good ,317 reviews,8.0,"NoMad, New York"
207,Casablanca Hotel by Library Hotel Collection,Superb ,108 reviews,9.2,"Manhattan, New York"
208,Hilton Club West 57th Street New York,Fabulous ,76 reviews,8.6,"Manhattan, New York"
209,Da Vinci Hotel,Good ,721 reviews,7.3,"Manhattan, New York"
210,Hotel AKA NoMad,Very good ,"1,420 reviews",8.5,"NoMad, New York"
211,Midtown E 1BR w DM Gym near Bloomingdales NYC-710,Good ,"1,519 reviews",7.7,"Midtown East, New York"
212,Renaissance New York Times Square Hotel,Very good ,49 reviews,8.2,"Manhattan, New York"
213,Hotel Boutique at Grand Central,Very good ,407 reviews,8.4,"Midtown East, New York"
214,New York EDITION,Good ,193 reviews,7.8,"Flatiron District, New York"
215,Residence Inn by Marriott New York Manhattan/ Midtown Eastside,Very good ,"4,092 reviews",8.5,"Midtown East, New York"
216,W New York - Union Square,Very good ,965 reviews,8.5,"Union Square, New York"
217,Radio City Apartments,Superb ,307 reviews,9.0,"Manhattan, New York"
218,The Moore,Fabulous ,"2,317 reviews",8.6,"Chelsea, New York"
219,Equinox Hotel Hudson Yards New York City,Review score ,"2,982 reviews",6.0,"Hudson Yards, New York"
220,Graduate New York,Good ,"3,832 reviews",7.9,New York
221,Night Hotel Broadway,Good ,269 reviews,7.5,"Upper West Side, New York"
222,Aliz Hotel Times Square,Very good ,"1,834 reviews",8.4,"Hell's Kitchen, New York"
223,"Distrikt Hotel New York City, Tapestry Collection by Hilton",,,,"Hell's Kitchen, New York"
224,Park Lane New York,,,,"Manhattan, New York"
225,The Flat NYC,Very good ,707 reviews,8.0,"Flatiron District, New York"
226,Airy Midtown E 1BR w Doorman nr UN NYC-894,Review score ,425 reviews,6.8,New York
227,"Holiday Inn Wall Street, an IHG Hotel",Very good ,390 reviews,8.2,"Wall Street - Financial District, New York"
228,Fitzpatrick Manhattan,Good ,985 reviews,7.8,"Midtown East, New York"
229,Sohotel,Very good ,693 reviews,8.4,"SoHo, New York"
230,ASIATEL HOTEL,Review score ,"1,218 reviews",5.7,New York
231,Hyatt Centric Times Square New York,Very good ,113 reviews,8.3,"Manhattan, New York"
232,Midtown Convention Center Hotel NYC,Very good ,"1,122 reviews",8.2,"Hudson Yards, New York"
233,SoHo 2BR w WD Balcony nr Whole Foods NYC-892,Review score ,966 reviews,5.6,New York
234,Hilton Club New York,Good ,711 reviews,7.2,"Manhattan, New York"
235,The Renwick,Good ,"1,220 reviews",7.9,"Murray Hill, New York"
236,Hudson River Hotel,Very good ,13 reviews,8.0,"Hudson Yards, New York"
237,Americana Inn,Very good ,390 reviews,8.5,"Manhattan, New York"
238,The Shelburne Sonesta New York,Good ,"2,533 reviews",7.8,"Murray Hill, New York"
239,Entire Apartment near Central Park,Superb ,233 reviews,9.2,"Hell's Kitchen, New York"
240,"EVEN Hotel New York Times Square South, an IHG Hotel",Superb ,14 reviews,9.3,"Hell's Kitchen, New York"
241,Courtyard by Marriott New York World Trade Center Area,Good ,553 reviews,7.5,"Wall Street - Financial District, New York"
242,Soul Food (Mont Morris),Good ,601 reviews,7.9,"Harlem, New York"
243,UES 1BR w Elevator nr Bloomingdales NYC-639,Very good ,532 reviews,8.3,"Upper East Side, New York"
244,Hotel Barrière Fouquet's New York,,,,"Tribeca, New York"
245,Sofitel New York,,,,"Manhattan, New York"
246,Sleek Nolita 1BR w wd nr Soho NYC-891,,,,"SoHo, New York"
247,Moderne Hotel,,,,"Manhattan, New York"
248,The Gardens Sonesta ES Suites New York,,,,"Upper East Side, New York"
249,Tempo By Hilton New York Times Square,,,,"Manhattan, New York"
250,UES studio w elevator doorman nr Central Park NYC-1038,Superb 9.0,65 external reviews,8.3,New York
251,Roomy Midtown W 1BR w Gym nr Times Sq NYC-633,Very good ,"1,592 reviews",6.4,"Manhattan, New York"
252,Nap York Central Park Sleep Station,Review score ,855 reviews,8.4,"Manhattan, New York"
253,The Gatsby Hotel,Very good ,400 reviews,6.4,"Lower East Side, New York"
254,UES 2br w elevator doorman gym nr Central Park NYC-1071,Review score ,386 reviews,6.4,"East Harlem, New York"
255,Sutton Place 1br w doorman gym nr Sutton Park NYC-1013,Review score ,"1,092 reviews",8.3,"Midtown East, New York"
256,Hotel Mulberry,Very good ,259 reviews,8.2,"Chinatown, New York"
257,Doxie Hotel,Very good ,411 reviews,8.5,"Manhattan, New York"
258,Mondrian Park Avenue,Very good ,865 reviews,8.2,"NoMad, New York"
259,UES 1BR w DM Elevator Gym Coworking Spaces NYC-588,Very good ,"3,471 reviews",8.2,"Upper East Side, New York"
260,Midtown 1BR w Gym Doorman nr Central Park NYC-510,Very good ,723 reviews,8.1,New York
261,West Village studio w courtyard nr NYU NYC-1016,Very good ,525 reviews,8.9,"Greenwich Village, New York"
262,KAMA CENTRAL PARK,Fabulous ,943 reviews,8.1,"Upper West Side, New York"
263,Fitzpatrick Grand Central,Very good ,"1,500 reviews",8.4,"Midtown East, New York"
264,Pestana Park Avenue,Very good ,325 reviews,8.8,"Murray Hill, New York"
265,The Washington by LuxUrban,Fabulous ,"1,708 reviews",8.4,"Wall Street - Financial District, New York"
266,The Marlton Hotel,Very good ,230 reviews,8.3,"Greenwich Village, New York"
267,The Standard - East Village,Very good ,227 reviews,8.5,"East Village, New York"
268,The Ludlow Hotel,Very good ,"1,778 reviews",9.1,"Lower East Side, New York"
269,Pestana CR7 Times Square,Superb ,53 reviews,7.9,"Hell's Kitchen, New York"
270,The Plaza,Good ,"4,288 reviews",3.8,"Manhattan, New York"
271,FiDi Studio w Residents Bar Golf Simulator Gym NYC-271,Review score ,787 reviews,10,New York
272,Margaritaville Resort Times Square,Exceptional ,1 review,8.1,"Manhattan, New York"
273,Northern Lights Mansion,Very good ,355 reviews,6.9,"Harlem, New York"
274,Club Wyndham Midtown 45,Review score ,377 reviews,8.6,"Midtown East, New York"
275,Henn na Hotel New York,Fabulous ,"1,251 reviews",8.4,"Manhattan, New York"
276,Fully Furnished Entire Floor Apartment in Historic Harlem,Very good ,128 reviews,7.7,"Harlem, New York"
277,Embassy Suites By Hilton New York Manhattan Times Square,Good ,258 reviews,6.6,"Manhattan, New York"
278,Bowery Grand Hotel,Review score ,125 reviews,7.4,"Lower East Side, New York"
279,Unique 2BD At Columbus Avenue,Good ,699 reviews,7.2,"Upper West Side, New York"
280,Kips Bay 1BR w Gym Doorman Parking Garage NYC-594,Good ,400 reviews,9.1,"Kips Bay, New York"
281,Cozy Nolita 2 Bedroom apartment,Superb ,285 reviews,6.3,"SoHo, New York"
282,Edge Hotel Washington Heights,Review score ,109 reviews,8.8,"Washington Heights, New York"
283,Redford Hotel,Fabulous ,30 reviews,8.2,"Lower East Side, New York"
284,Carnegie Hotel,Very good ,"1,754 reviews",9.0,"Manhattan, New York"
285,Kixby,Superb ,437 reviews,7.7,"Manhattan, New York"
286,Hyatt Union Square New York,Good ,60 reviews,8.7,"Union Square, New York"
287,West 30th Street Guest House,Fabulous ,200 reviews,9.0,"Chelsea, New York"
288,Madison LES Hotel,Superb ,2 reviews,7.1,"Lower East Side, New York"
289,Hotel Five44,Good ,453 reviews,6.9,"Hell's Kitchen, New York"
290,Cozy Studio in NYC,Review score ,769 reviews,7.0,"Upper West Side, New York"
291,"The Langham, New York, Fifth Avenue",Good ,2 reviews,8.2,"Manhattan, New York"
292,Casamia 36 Hotel,Very good ,465 reviews,9.5,"Hudson Yards, New York"
293,Collective Governors Island,Exceptional ,13 reviews,7.2,"Governors Island, New York"
294,Moxy NYC East Village,Good ,6 reviews,8.5,"East Village, New York"
295,The Kimberly Hotel,Very good ,524 reviews,8.7,"Midtown East, New York"
296,The Historic Blue Moon Hotel - NYC,Fabulous ,434 reviews,8.7,"Lower East Side, New York"
297,Baccarat Hotel and Residences New York,Fabulous ,553 reviews,9.3,"Manhattan, New York"
298,UES apartment,Superb ,114 reviews,8.0,"Upper East Side, New York"
299,"Le Meridien New York, Central Park by Marriott",Very good ,372 reviews,7.9,"Manhattan, New York"
300,Hotel 32 32,Good ,817 reviews,8.4,"Manhattan, New York"
301,Antique Victorian 2 Bedroom best Location,Very good ,472 reviews,8.5,"Lower East Side, New York"
302,"Kimpton Hotel Eventi, an IHG Hotel",Very good ,314 reviews,7.7,"Chelsea, New York"
303,Nine Orchard,Good ,168 reviews,8.5,"Chinatown, New York"
304,"Le Méridien New York, Fifth Avenue",Very good ,"1,085 reviews",5.3,"NoMad, New York"
305,1 Hotel Central Park,Review score ,"1,195 reviews",7.4,"Manhattan, New York"
306,Merrion Row Hotel and Public House,Good ,"1,118 reviews",8.7,"Manhattan, New York"
